epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7896,0.805,2.88584,1.00384,0.0099,0.74363,0.31491,0.26103,0.73655,3.31142,0.84071,0.000407197,0.000407197,0.000407197
2,34.1246,0.82252,1.66339,0.98828,0.9937,0.31798,0.79072,0.5771,0.77506,2.4784,0.90763,0.000815707,0.000815707,0.000815707
3,49.9091,0.82394,1.42966,1.00182,0.73089,0.45228,0.64945,0.5092,0.77324,1.71745,0.91885,0.00121597,0.00121597,0.00121597
4,64.0575,0.81754,1.33638,1.00169,0.93673,0.82251,0.86624,0.69002,0.70344,1.31833,0.9485,0.00121287,0.00121287,0.00121287
5,86.5188,0.80723,1.22573,1.00531,0.91273,0.8594,0.91676,0.73519,0.68464,0.70841,0.93765,0.0012005,0.0012005,0.0012005
6,103.866,0.75739,1.06894,0.9859,0.88984,0.88079,0.93485,0.74874,0.72173,0.79081,0.96261,0.00118812,0.00118812,0.00118812
7,120.586,0.79099,1.03301,1.00298,0.92254,0.92486,0.94977,0.75209,0.67108,0.60034,0.9218,0.00117575,0.00117575,0.00117575
8,135.504,0.74376,0.94631,0.97634,0.98279,0.8927,0.93765,0.74339,0.70276,0.58264,0.92537,0.00116337,0.00116337,0.00116337
9,154.705,0.71137,0.84797,0.96837,0.96382,0.94442,0.96789,0.79869,0.65244,0.49366,0.92512,0.001151,0.001151,0.001151
10,170.436,0.71316,0.80147,0.96025,0.99184,0.85853,0.93224,0.7632,0.65028,0.47953,0.91187,0.00113863,0.00113863,0.00113863
11,183.396,0.72133,0.77416,0.96234,0.9909,0.88304,0.92439,0.74048,0.66754,0.48291,0.91968,0.00112625,0.00112625,0.00112625
12,196.879,0.72358,0.75942,0.97296,0.852,0.92792,0.93625,0.75341,0.60772,0.48455,0.88931,0.00111388,0.00111388,0.00111388
13,210.098,0.69645,0.70483,0.95447,0.913,0.89301,0.94242,0.78031,0.63456,0.50418,0.89724,0.0011015,0.0011015,0.0011015
14,223.991,0.66251,0.6555,0.94592,0.99275,0.88256,0.94279,0.79002,0.61727,0.43955,0.89211,0.00108913,0.00108913,0.00108913
15,237.268,0.69131,0.66226,0.9579,0.93925,0.90048,0.95196,0.79027,0.61804,0.42749,0.89795,0.00107675,0.00107675,0.00107675
16,250.88,0.67408,0.64659,0.94411,0.98708,0.86626,0.95147,0.79102,0.59127,0.41911,0.89318,0.00106437,0.00106437,0.00106437
17,265.598,0.67174,0.62672,0.9596,0.95498,0.93104,0.96526,0.77136,0.63153,0.46302,0.89752,0.001052,0.001052,0.001052
18,285.567,0.66162,0.607,0.94597,0.95629,0.9382,0.96265,0.78561,0.63285,0.42868,0.90481,0.00103962,0.00103962,0.00103962
19,301.363,0.65963,0.59101,0.94835,0.90924,0.92694,0.9509,0.79733,0.59791,0.44494,0.88813,0.00102725,0.00102725,0.00102725
20,316.069,0.66732,0.58112,0.94997,0.90193,0.95333,0.9412,0.77594,0.64714,0.43535,0.90509,0.00101488,0.00101488,0.00101488
21,330.647,0.65331,0.54605,0.94148,0.93904,0.91087,0.95677,0.80002,0.5995,0.40313,0.8923,0.0010025,0.0010025,0.0010025
22,347.78,0.66313,0.55115,0.95472,0.94258,0.8882,0.93098,0.76843,0.63941,0.39181,0.91269,0.000990125,0.000990125,0.000990125
23,361.15,0.63883,0.53169,0.93885,0.86446,0.94794,0.94189,0.78182,0.57631,0.40539,0.88583,0.00097775,0.00097775,0.00097775
24,375.242,0.63919,0.52287,0.94976,0.95804,0.90446,0.95891,0.79353,0.60852,0.38983,0.89654,0.000965375,0.000965375,0.000965375
25,388.676,0.62271,0.50873,0.92886,0.9229,0.9404,0.96041,0.79377,0.6175,0.39745,0.90114,0.000953,0.000953,0.000953
26,403.218,0.63586,0.50927,0.93767,0.8726,0.94863,0.92292,0.75382,0.57999,0.38475,0.88289,0.000940625,0.000940625,0.000940625
27,416.347,0.62896,0.49909,0.92673,0.96332,0.92988,0.9596,0.8077,0.57794,0.37765,0.88378,0.00092825,0.00092825,0.00092825
28,429.603,0.59357,0.47061,0.92683,0.92317,0.95487,0.95071,0.79872,0.60765,0.3971,0.89324,0.000915875,0.000915875,0.000915875
29,442.456,0.61462,0.47952,0.93016,0.95023,0.9124,0.94544,0.79144,0.58911,0.39615,0.88436,0.0009035,0.0009035,0.0009035
30,455.396,0.63839,0.49663,0.94188,0.96558,0.95056,0.96023,0.80926,0.58131,0.3758,0.89162,0.000891125,0.000891125,0.000891125
31,473.445,0.62278,0.47887,0.93434,0.96788,0.97012,0.96922,0.80831,0.59338,0.35669,0.89069,0.00087875,0.00087875,0.00087875
32,496.21,0.60889,0.47599,0.92558,0.94568,0.97153,0.97191,0.80491,0.60209,0.3681,0.89094,0.000866375,0.000866375,0.000866375
33,510.68,0.58393,0.45394,0.91647,0.95545,0.95628,0.97934,0.8079,0.59265,0.3524,0.88971,0.000854,0.000854,0.000854
34,531.252,0.60408,0.4544,0.93169,0.947,0.9382,0.97826,0.80888,0.5971,0.36346,0.89367,0.000841625,0.000841625,0.000841625
35,545.374,0.59259,0.44294,0.9247,0.92296,0.94392,0.96245,0.79672,0.58979,0.35008,0.88199,0.00082925,0.00082925,0.00082925
36,559.954,0.60081,0.46218,0.91479,0.96069,0.89077,0.95857,0.80485,0.59794,0.36422,0.88742,0.000816875,0.000816875,0.000816875
37,573.931,0.58283,0.44643,0.92751,0.97008,0.96075,0.95639,0.7939,0.58974,0.34331,0.88939,0.0008045,0.0008045,0.0008045
38,588.555,0.59789,0.44606,0.92208,0.90945,0.9447,0.97213,0.82195,0.57473,0.36038,0.88266,0.000792125,0.000792125,0.000792125
39,602.917,0.59437,0.44117,0.91857,0.9727,0.92128,0.96622,0.79426,0.58851,0.35965,0.89454,0.00077975,0.00077975,0.00077975
40,616.232,0.59109,0.43379,0.92075,0.89612,0.96186,0.95753,0.80304,0.58106,0.33752,0.88363,0.000767375,0.000767375,0.000767375
41,631.207,0.5949,0.42242,0.92001,0.928,0.95271,0.96703,0.81326,0.56145,0.33541,0.88011,0.000755,0.000755,0.000755
42,650.708,0.59252,0.42921,0.91736,0.96661,0.95827,0.96581,0.82037,0.56244,0.33941,0.87828,0.000742625,0.000742625,0.000742625
43,678.528,0.56286,0.40311,0.90313,0.93416,0.96983,0.95944,0.81656,0.55488,0.34659,0.8797,0.00073025,0.00073025,0.00073025
44,703.409,0.59163,0.42787,0.9131,0.96876,0.96262,0.96097,0.80677,0.57654,0.3461,0.88057,0.000717875,0.000717875,0.000717875
45,721.6,0.56973,0.42464,0.90742,0.98373,0.87012,0.95691,0.79171,0.58461,0.34231,0.88136,0.0007055,0.0007055,0.0007055
46,742.118,0.57728,0.41804,0.91092,0.91959,0.94962,0.95473,0.81304,0.56559,0.34281,0.88009,0.000693125,0.000693125,0.000693125
47,761.911,0.55712,0.40311,0.90794,0.90915,0.96979,0.96524,0.80862,0.56754,0.30918,0.88144,0.00068075,0.00068075,0.00068075
48,779.967,0.55062,0.39193,0.89948,0.97816,0.92923,0.96895,0.8106,0.55907,0.31749,0.87877,0.000668375,0.000668375,0.000668375
49,794.946,0.54874,0.39899,0.90057,0.94009,0.97153,0.9647,0.81277,0.57282,0.34256,0.88222,0.000656,0.000656,0.000656
50,810.487,0.55321,0.39719,0.89451,0.9657,0.90785,0.95394,0.79598,0.57079,0.3473,0.88122,0.000643625,0.000643625,0.000643625
51,837.12,0.56676,0.39519,0.91505,0.92262,0.9682,0.95896,0.79916,0.57297,0.33834,0.88301,0.00063125,0.00063125,0.00063125
52,861.964,0.54893,0.38994,0.9125,0.89133,0.96548,0.95125,0.78974,0.54019,0.33495,0.87024,0.000618875,0.000618875,0.000618875
53,888.769,0.53647,0.37641,0.90202,0.95358,0.95213,0.96357,0.82214,0.54383,0.3066,0.87377,0.0006065,0.0006065,0.0006065
54,916.084,0.51974,0.3775,0.88957,0.94055,0.96202,0.96701,0.80161,0.5624,0.31753,0.87925,0.000594125,0.000594125,0.000594125
55,942.864,0.54188,0.3819,0.8977,0.97028,0.96745,0.96583,0.81108,0.55501,0.31797,0.87906,0.00058175,0.00058175,0.00058175
56,965.374,0.55667,0.3787,0.89978,0.95364,0.93956,0.96891,0.81151,0.55083,0.29939,0.87402,0.000569375,0.000569375,0.000569375
57,987.36,0.5311,0.37016,0.89859,0.94777,0.91324,0.95731,0.80978,0.56779,0.31808,0.87458,0.000557,0.000557,0.000557
58,1002.41,0.52891,0.36528,0.88522,0.95021,0.9348,0.96096,0.80019,0.56086,0.32523,0.87885,0.000544625,0.000544625,0.000544625
59,1017.65,0.53761,0.36812,0.89568,0.96758,0.88889,0.95064,0.81348,0.55717,0.31211,0.87686,0.00053225,0.00053225,0.00053225
60,1037.25,0.51676,0.36273,0.89721,0.97078,0.92281,0.9636,0.82458,0.55104,0.31998,0.87923,0.000519875,0.000519875,0.000519875
61,1053.33,0.52847,0.36786,0.88956,0.92397,0.92344,0.96662,0.82217,0.53638,0.29757,0.87566,0.0005075,0.0005075,0.0005075
62,1073.54,0.52767,0.35711,0.88811,0.92924,0.9301,0.94607,0.80068,0.55805,0.30917,0.87906,0.000495125,0.000495125,0.000495125
63,1091.86,0.51397,0.35379,0.88288,0.95099,0.92591,0.96355,0.82973,0.54496,0.30283,0.8738,0.00048275,0.00048275,0.00048275
64,1106.66,0.53241,0.36628,0.89537,0.93877,0.93568,0.9593,0.80753,0.54658,0.30876,0.87263,0.000470375,0.000470375,0.000470375
65,1121.43,0.50639,0.35328,0.88148,0.93039,0.94605,0.94908,0.81355,0.54151,0.29834,0.87711,0.000458,0.000458,0.000458
66,1140.43,0.531,0.35917,0.88878,0.96694,0.92486,0.96169,0.81912,0.55476,0.29324,0.87966,0.000445625,0.000445625,0.000445625
67,1161.56,0.49372,0.3402,0.88584,0.93877,0.95327,0.96016,0.83253,0.55992,0.2907,0.88008,0.00043325,0.00043325,0.00043325
68,1176.16,0.51429,0.34954,0.88763,0.93791,0.95254,0.96407,0.83004,0.55449,0.29283,0.87867,0.000420875,0.000420875,0.000420875
69,1190.78,0.48352,0.33276,0.8739,0.93401,0.95487,0.96343,0.82571,0.53938,0.29689,0.87313,0.0004085,0.0004085,0.0004085
70,1206.61,0.51069,0.34773,0.8862,0.96728,0.91659,0.96348,0.82016,0.53865,0.3037,0.87661,0.000396125,0.000396125,0.000396125
71,1221.33,0.49626,0.33962,0.88506,0.91579,0.95265,0.96552,0.82942,0.53456,0.29688,0.87244,0.00038375,0.00038375,0.00038375
72,1235.98,0.48954,0.33486,0.87648,0.95908,0.95627,0.97057,0.82864,0.53915,0.28416,0.87038,0.000371375,0.000371375,0.000371375
73,1255.72,0.5058,0.3436,0.88486,0.94934,0.95322,0.96443,0.83347,0.52799,0.29919,0.86858,0.000359,0.000359,0.000359
74,1269,0.49158,0.33018,0.87888,0.91227,0.93508,0.95826,0.82658,0.53332,0.28762,0.8705,0.000346625,0.000346625,0.000346625
75,1282.56,0.50103,0.33018,0.87646,0.97093,0.93239,0.96179,0.82241,0.53448,0.28487,0.86899,0.00033425,0.00033425,0.00033425
76,1297.57,0.48532,0.32323,0.87931,0.91386,0.92753,0.9584,0.81826,0.5458,0.27989,0.87298,0.000321875,0.000321875,0.000321875
77,1320.19,0.47492,0.3198,0.88233,0.95612,0.90693,0.96202,0.81853,0.5369,0.28056,0.87375,0.0003095,0.0003095,0.0003095
78,1334.57,0.4693,0.32228,0.87274,0.97068,0.94336,0.96409,0.82105,0.53475,0.27414,0.87317,0.000297125,0.000297125,0.000297125
79,1350.87,0.48609,0.32,0.87582,0.97658,0.94227,0.9628,0.82932,0.53185,0.28373,0.87109,0.00028475,0.00028475,0.00028475
80,1364.54,0.48606,0.32544,0.87131,0.97074,0.90487,0.95461,0.82123,0.54093,0.28738,0.87423,0.000272375,0.000272375,0.000272375
81,1381.47,0.47214,0.32098,0.87467,0.93461,0.92832,0.96152,0.83054,0.53469,0.27917,0.87179,0.00026,0.00026,0.00026
82,1400.36,0.4752,0.31206,0.87321,0.949,0.9304,0.95914,0.81817,0.53677,0.28351,0.8682,0.000247625,0.000247625,0.000247625
83,1417.02,0.46976,0.31328,0.87039,0.95365,0.92153,0.95908,0.824,0.53919,0.28794,0.87006,0.00023525,0.00023525,0.00023525
84,1432.23,0.48046,0.31637,0.87555,0.93191,0.95187,0.96509,0.82772,0.52844,0.28042,0.86981,0.000222875,0.000222875,0.000222875
85,1447.45,0.44995,0.29722,0.86916,0.94197,0.95165,0.96318,0.83273,0.53968,0.27824,0.87339,0.0002105,0.0002105,0.0002105
86,1462.22,0.46736,0.30237,0.8689,0.95541,0.9422,0.96458,0.82682,0.54106,0.27528,0.8729,0.000198125,0.000198125,0.000198125
87,1475.58,0.45205,0.30342,0.8765,0.956,0.95487,0.96275,0.8282,0.53462,0.27896,0.87178,0.00018575,0.00018575,0.00018575
88,1489.84,0.46267,0.31454,0.87202,0.95793,0.95487,0.96573,0.82667,0.53096,0.2724,0.86989,0.000173375,0.000173375,0.000173375
89,1503.35,0.44705,0.29027,0.86078,0.9457,0.9338,0.96634,0.83864,0.52453,0.26501,0.86831,0.000161,0.000161,0.000161
90,1516.9,0.45743,0.30405,0.87609,0.95462,0.95499,0.96368,0.83115,0.53166,0.26835,0.8697,0.000148625,0.000148625,0.000148625
91,1573.67,0.43673,0.2783,0.83908,0.96622,0.93917,0.96048,0.81621,0.53293,0.27188,0.87394,0.00013625,0.00013625,0.00013625
92,1589.22,0.43721,0.27185,0.84184,0.96172,0.93786,0.96066,0.82695,0.53348,0.26934,0.87255,0.000123875,0.000123875,0.000123875
93,1608.24,0.43441,0.26574,0.83142,0.96404,0.9382,0.96192,0.83143,0.5323,0.26319,0.87236,0.0001115,0.0001115,0.0001115
94,1623.76,0.42581,0.25974,0.83804,0.96305,0.9382,0.96157,0.82171,0.53445,0.26695,0.87216,9.9125e-05,9.9125e-05,9.9125e-05
95,1647.02,0.42976,0.25688,0.83898,0.93767,0.93961,0.96042,0.81998,0.53531,0.26516,0.87063,8.675e-05,8.675e-05,8.675e-05
96,1673.79,0.42703,0.26144,0.83823,0.94194,0.9382,0.96307,0.8192,0.53978,0.26599,0.87107,7.4375e-05,7.4375e-05,7.4375e-05
97,1697.73,0.43175,0.25511,0.84071,0.95855,0.92535,0.96326,0.82147,0.53422,0.26482,0.86903,6.2e-05,6.2e-05,6.2e-05
98,1720.96,0.41444,0.25989,0.82881,0.96497,0.9275,0.96445,0.82124,0.53614,0.26311,0.87001,4.9625e-05,4.9625e-05,4.9625e-05
99,1743.62,0.41091,0.25182,0.8237,0.951,0.9382,0.96434,0.82028,0.5285,0.26126,0.86851,3.725e-05,3.725e-05,3.725e-05
100,1764.48,0.4169,0.25424,0.82683,0.94672,0.9382,0.96413,0.82593,0.52609,0.26122,0.86811,2.4875e-05,2.4875e-05,2.4875e-05
